name,url_kent_invicta_coc_page,url_website,telephone,ADDRESS,BUILDING_NUMBER,THOROUGHFARE_NAME,POST_TOWN,POSTCODE,CLASSIFICATION_CODE_DESCRIPTION,LOCAL_CUSTODIAN_CODE_DESCRIPTION,WARD_CODE,LAST_UPDATE_DATE,ENTRY_DATE,ORGANISATION_NAME,BUILDING_NAME
AC Goatham & Son,https://www.kentinvictachamber.co.uk/business-listings/ac-goatham-son/,https://www.acgoatham.com,01634 253424,"A C GOATHAM & SON, FLANDERS FARM, RATCLIFFE HIGHWAY, HOO, ROCHESTER, ME3 8QE",,RATCLIFFE HIGHWAY,ROCHESTER,ME3 8QE,Factory/Manufacturing,MEDWAY,E05014457,12/11/2018,30/07/2012,A C GOATHAM & SON,FLANDERS FARM
AHE Services Limited,https://www.kentinvictachamber.co.uk/business-listings/ahe-services-limited/,https://aheservicesltd.co.uk,01634 786616,"32, BALMORAL ROAD, GILLINGHAM, ME7 4PG",32,BALMORAL ROAD,GILLINGHAM,ME7 4PG,Property Shell,MEDWAY,E05014455,20/06/2022,30/08/2001,,
Air Ambulance Charity Kent Surrey Sussex,https://www.kentinvictachamber.co.uk/business-listings/kent-surrey-sussex-air-ambulance/,http://www.aakss.org.uk,01634 471900,"AIRPORT CAFE, ROCHESTER CITY AIRPORT, MAIDSTONE ROAD, CHATHAM, ME5 9SD",,MAIDSTONE ROAD,CHATHAM,ME5 9SD,Workshop / Light Industrial,MEDWAY,E05014452,10/02/2016,22/04/2013,AIRPORT CAFE,ROCHESTER CITY AIRPORT
Armac Shipping Services Ltd,https://www.kentinvictachamber.co.uk/business-listings/armac-shipping-services-ltd/,http://www.armacshipping.com,01634 712699,"35, RIVERSIDE ESTATE, SIR THOMAS LONGLEY ROAD, MEDWAY CITY ESTATE, ROCHESTER, ME2 4DP",35,SIR THOMAS LONGLEY ROAD,ROCHESTER,ME2 4DP,Office / Work Studio,MEDWAY,E05014468,25/10/2024,21/10/2010,,
Bearman HR Consultancy Ltd,https://www.kentinvictachamber.co.uk/business-listings/bearman-hr-consultancy-ltd/,https://bearmanhr.co.uk/,07956 466247,"24, CLANDON ROAD, CHATHAM, ME5 8YB",24,CLANDON ROAD,CHATHAM,ME5 8YB,Terraced,MEDWAY,E05014458,20/06/2022,30/08/2001,,
BSL Gas Technologies,https://www.kentinvictachamber.co.uk/business-listings/bsl-gas-technologies/,https://www.bslgastech.com/,01634 661100,"31, ROCHESTER AIRPORT INDUSTRIAL ESTATE, LAKER ROAD, ROCHESTER, ME1 3QX",31,LAKER ROAD,ROCHESTER,ME1 3QX,Workshop / Light Industrial,MEDWAY,E05014452,20/06/2022,09/07/2010,,
Chatha Hygiene Group Limited,https://www.kentinvictachamber.co.uk/business-listings/chatha-hygiene-ltd/,http://www.chathahygiene.com,01634 308252,"UNIT 1, NORTHPOINT BUSINESS ESTATE, ENTERPRISE CLOSE, MEDWAY CITY ESTATE, ROCHESTER, ME2 4LX",,ENTERPRISE CLOSE,ROCHESTER,ME2 4LX,Workshop / Light Industrial,MEDWAY,E05014468,07/05/2017,30/08/2001,,UNIT 1
Compass Coaching,https://www.kentinvictachamber.co.uk/business-listings/compass-coaching/,https://www.compass-coaching-change.com,07356 087489,"26, MAXIMILIAN DRIVE, HALLING, ROCHESTER, ME2 1NQ",26,MAXIMILIAN DRIVE,ROCHESTER,ME2 1NQ,Detached,MEDWAY,E05014451,20/06/2022,30/08/2001,,
Cubic Pharmaceuticals Ltd,https://www.kentinvictachamber.co.uk/business-listings/cubic-pharmaceuticals-ltd/,http://www.cubicpharmaceuticals.co.uk,01634 726628,"UNIT 6, SEXTANT PARK, NEPTUNE CLOSE, MEDWAY CITY ESTATE, ROCHESTER, ME2 4LU",,NEPTUNE CLOSE,ROCHESTER,ME2 4LU,Workshop / Light Industrial,MEDWAY,E05014468,07/09/2016,30/08/2001,,UNIT 6
Elkay Energy Saving Switches and Controls,https://www.kentinvictachamber.co.uk/business-listings/elkay-energy-saving-switches-controls/,https://elkay.co.uk,07766 517017,"1, MOTNEY HILL, RAINHAM, GILLINGHAM, ME8 7UA",1,MOTNEY HILL,GILLINGHAM,ME8 7UA,Detached,MEDWAY,E05014461,20/06/2022,30/08/2001,,
Facet Technical & Resource Solutions Ltd,https://www.kentinvictachamber.co.uk/business-listings/facet-technical-resource-solutions-ltd/,https://facettechnical.co.uk,01634 816011,"UNIT 31, THE JOINERY WORKSHOP, MAIN GATE ROAD, THE HISTORIC DOCKYARD, CHATHAM, ME4 4TZ",,THE HISTORIC DOCKYARD,CHATHAM,ME4 4TZ,Workshop / Light Industrial,MEDWAY,E05014450,12/02/2017,21/09/2010,,THE JOINERY WORKSHOP
Fitzpatrick Woolmer Design and Publishing Ltd,https://www.kentinvictachamber.co.uk/business-listings/fitzpatrick-woolmer-design-and-publishing-ltd/,https://www.fwdp.co.uk,01634 711771,"UNIT 17, LAKESIDE, NEPTUNE CLOSE, MEDWAY CITY ESTATE, ROCHESTER, ME2 4LT",,NEPTUNE CLOSE,ROCHESTER,ME2 4LT,Workshop / Light Industrial,MEDWAY,E05014468,22/02/2024,30/08/2001,,LAKESIDE
Gillingham Football Club,https://www.kentinvictachamber.co.uk/business-listings/gillingham-football-club/,https://www.gillinghamfootballclub.com,01634 300000,"GILLINGHAM FOOTBALL CLUB, PRIESTFIELD STADIUM, PRIESTFIELD ROAD, GILLINGHAM, ME7 4DD",,PRIESTFIELD ROAD,GILLINGHAM,ME7 4DD,Stadium,MEDWAY,E05014471,30/08/2022,30/08/2001,GILLINGHAM FOOTBALL CLUB,PRIESTFIELD STADIUM
Guscott Heating Services,https://www.kentinvictachamber.co.uk/business-listings/guscott-heating-services/,https://www.guscottheating.co.uk,01634 477023,"UNIT 4, INNOVATION STUDIOS, CANAL ROAD, STROOD, ROCHESTER, ME2 4DT",,CANAL ROAD,ROCHESTER,ME2 4DT,Office / Work Studio,MEDWAY,E05014467,03/12/2017,22/06/2017,,INNOVATION STUDIOS
Holding on Letting Go,https://www.kentinvictachamber.co.uk/business-listings/holding-on-letting-go/,https://holg.org.uk,03445 611 511,"MEDWAY P C T, WISDOM HOSPICE, HIGH BANK, ROCHESTER, ME1 2NU",,HIGH BANK,ROCHESTER,ME1 2NU,Hospice,MEDWAY,E05014464,22/08/2025,30/08/2001,MEDWAY P C T,WISDOM HOSPICE
InterPro Publishing Solutions Limited,https://www.kentinvictachamber.co.uk/business-listings/interpro-solutions-limited/,https://www.interprosolutions.co.uk,07710 725410,"106, LONSDALE DRIVE, GILLINGHAM, ME8 9HZ",106,LONSDALE DRIVE,GILLINGHAM,ME8 9HZ,Terraced,MEDWAY,E05014462,20/06/2022,30/08/2001,,
John Planck Ltd,https://www.kentinvictachamber.co.uk/business-listings/john-planck-ltd/,https://johnplanck.co.uk,01634 823189,"7, CHURCH LANE, THE HISTORIC DOCKYARD, CHATHAM, ME4 4LF",7,THE HISTORIC DOCKYARD,CHATHAM,ME4 4LF,Self Contained Flat (Includes Maisonette / Apartment),MEDWAY,E05014450,20/06/2022,17/11/2006,,
Kench Consultants,https://www.kentinvictachamber.co.uk/business-listings/kench-consultants/,https://www.kenchconsultants.com,0208 057 6552,"KENT HIRE LTD, UNIT 1, M2M PARK, FORT BRIDGEWOOD, MAIDSTONE ROAD, ROCHESTER, ME1 3DQ",,MAIDSTONE ROAD,ROCHESTER,ME1 3DQ,Workshop / Light Industrial,MEDWAY,E05014465,03/02/2020,11/01/2019,KENT HIRE LTD,M2M PARK
Knights Brown Construction,https://www.kentinvictachamber.co.uk/business-listings/knights-brown-construction/,https://www.knightsbrown.co.uk/,01634 226830,"1 HEVER HOUSE, CYPRESS COURT, ROCHESTER, ME2 4QB",,CYPRESS COURT,ROCHESTER,ME2 4QB,Self Contained Flat (Includes Maisonette / Apartment),MEDWAY,E05014468,20/06/2022,30/08/2001,,1 HEVER HOUSE
Leiach Electrical Contractors Ltd,https://www.kentinvictachamber.co.uk/business-listings/leiach-electrical-contractors-ltd/,https://www.leiach.co.uk,01634 786171,"CLIFFE CONTRACTORS LTD, CLIFFE HOUSE, ANTHONYS WAY, MEDWAY CITY ESTATE, ROCHESTER, ME2 4DY",,ANTHONYS WAY,ROCHESTER,ME2 4DY,Property Shell,MEDWAY,E05014468,21/12/2021,04/10/2010,CLIFFE CONTRACTORS LTD,CLIFFE HOUSE
Lighthouse Safety,https://www.kentinvictachamber.co.uk/business-listings/lighthouse-safety/,https://www.lighthousesafety.co.uk/,01634 260631,"18, IVY STREET, RAINHAM, GILLINGHAM, ME8 8BE",18,IVY STREET,GILLINGHAM,ME8 8BE,Public / Village Hall / Other Community Facility,MEDWAY,E05014461,20/06/2022,30/08/2001,,
Louis Gas & Heating LTD,https://www.kentinvictachamber.co.uk/business-listings/louis-gas-heating-ltd/,https://www.louisgasandheating.com,01634 304241,"103, CLIFFE ROAD, ROCHESTER, ME2 3DP",103,CLIFFE ROAD,ROCHESTER,ME2 3DP,Terraced,MEDWAY,E05014467,20/06/2022,30/08/2001,,
Marshalls Drone Services Ltd,https://www.kentinvictachamber.co.uk/business-listings/marshalls-drone-services-ltd/,https://marshalldroneservices.com,07369 282889,"26, ELLISON WAY, RAINHAM, GILLINGHAM, ME8 7PL",26,ELLISON WAY,GILLINGHAM,ME8 7PL,Terraced,MEDWAY,E05014461,20/06/2022,30/08/2001,,
Martin Tolhurst Solicitors,https://www.kentinvictachamber.co.uk/business-listings/martin-tolhurst-solicitors/,http://www.martintolhurst.co.uk,01634 728111,"4, TEYNHAM GREEN, GILLINGHAM, ME8 6NZ",4,TEYNHAM GREEN,GILLINGHAM,ME8 6NZ,Semi-Detached,MEDWAY,E05014470,20/06/2022,30/08/2001,,
Medway Healthy Workplaces Programme,https://www.kentinvictachamber.co.uk/business-listings/a-better-medway/,https://www.medway.gov.uk/info/200287/medway_healthy_workplace_programme,01634 334355,"MEDWAY COUNCIL, GUN WHARF, DOCK ROAD, CHATHAM, ME4 4TR",,DOCK ROAD,CHATHAM,ME4 4TR,Community Service Centre / Office,MEDWAY,E05014450,03/02/2020,30/08/2001,MEDWAY COUNCIL,GUN WHARF
Medway Yacht Club,https://www.kentinvictachamber.co.uk/business-listings/medway-yacht-club/,https://medwayyachtclub.com,01634 718399,"LE CHALLAND, LOWER UPNOR, UPNOR, ROCHESTER, ME2 4XB",,LOWER UPNOR,ROCHESTER,ME2 4XB,Detached,MEDWAY,E05014468,20/06/2022,30/08/2001,,LE CHALLAND
"Practice Plus Group Surgical Centre, Gillingham",https://www.kentinvictachamber.co.uk/business-listings/practice-plus-group-surgical-centre-gillingham/,https://https://practiceplusgroup.com/hospitals/gillingham/,07918 768090,"2, BEECHINGS WAY, GILLINGHAM, ME8 6PT",2,BEECHINGS WAY,GILLINGHAM,ME8 6PT,Semi-Detached,MEDWAY,E05014470,20/06/2022,30/08/2001,,
Primech Building Services,https://www.kentinvictachamber.co.uk/business-listings/primech-building-services/,https://primechservices.com,0203 978 8000,"UNIT 2, AMBLEY GREEN, GILLINGHAM BUSINESS PARK, GILLINGHAM, ME8 0NJ",,AMBLEY GREEN,GILLINGHAM,ME8 0NJ,Office / Work Studio,MEDWAY,E05014471,24/01/2024,30/08/2001,,UNIT 2
Richard Austin Alloys (South East) Ltd,https://www.kentinvictachamber.co.uk/business-listings/richard-austin-alloys-south-east-ltd/,https://www.raaltd.com,02034243444,"STROOD YACHT CLUB, KNIGHT ROAD, ROCHESTER, ME2 2AH",,KNIGHT ROAD,ROCHESTER,ME2 2AH,Licensed Private Members’ Club,MEDWAY,E05014451,06/03/2022,30/08/2001,STROOD YACHT CLUB,
Rochester Site Services Ltd Scaffolding & Recruitment Ltd,https://www.kentinvictachamber.co.uk/business-listings/rochester-scaffolding-co-ltd/,https://rochesterscaffoldingservice.co.uk/,01634 735300,"T M C LTD, BETA HOUSE, LASER QUAY, CULPEPER CLOSE, MEDWAY CITY ESTATE, ROCHESTER, ME2 4HU",,CULPEPER CLOSE,ROCHESTER,ME2 4HU,Office / Work Studio,MEDWAY,E05014468,11/08/2018,10/07/2012,T M C LTD,BETA HOUSE
Signs and Imaging Southeast,https://www.kentinvictachamber.co.uk/business-listings/signs-and-imaging-southeast/,https://www.signsandimaging.com,01634 739009,"BANSAL LTD, UNIT 9, INVICTA BUSINESS CENTRE, BREDGAR ROAD, GILLINGHAM, ME8 6PG",,BREDGAR ROAD,GILLINGHAM,ME8 6PG,Wholesale Distribution,MEDWAY,E05014470,20/06/2022,13/12/2004,BANSAL LTD,INVICTA BUSINESS CENTRE
The Historic Dockyard Chatham,https://www.kentinvictachamber.co.uk/business-listings/the-historic-dockyard-chatham/,https://thedockyard.co.uk/,01634 823846,"WARD SECURITY LTD, FITTED RIGGING HOUSE, MAIN GATE ROAD, THE HISTORIC DOCKYARD, CHATHAM, ME4 4TZ",,THE HISTORIC DOCKYARD,CHATHAM,ME4 4TZ,Office / Work Studio,MEDWAY,E05014450,07/11/2025,24/01/2020,WARD SECURITY LTD,FITTED RIGGING HOUSE
The Merit Group,https://www.kentinvictachamber.co.uk/business-listings/the-merit-group/,https://www.themeritgroup.co.uk,0800 210 0175,"MERIT OFFICE INSTALLATIONS LTD, UNIT 1-4, MERIT HOUSE, WHITEWALL ROAD, MEDWAY CITY ESTATE, ROCHESTER, ME2 4WS",,WHITEWALL ROAD,ROCHESTER,ME2 4WS,Warehouse / Store / Storage Depot,MEDWAY,E05014468,10/02/2016,02/09/2015,MERIT OFFICE INSTALLATIONS LTD,MERIT HOUSE
The Net Magazine,https://www.kentinvictachamber.co.uk/business-listings/the-net-magazine/,http://www.thenetmag.uk,01634 310011,"2, SARACEN CLOSE, GILLINGHAM BUSINESS PARK, GILLINGHAM, ME8 0QN",2,SARACEN CLOSE,GILLINGHAM,ME8 0QN,Factory/Manufacturing,MEDWAY,E05014471,20/06/2022,30/08/2001,,
The Wonder Lab Project C.I.C,https://www.kentinvictachamber.co.uk/business-listings/the-wonder-lab-project-c-i-c/,https://thewonderlabproject.com,,"15, NEW ROAD AVENUE, CHATHAM, ME4 6BA",15,NEW ROAD AVENUE,CHATHAM,ME4 6BA,General Practice Surgery / Clinic,MEDWAY,E05014450,07/09/2016,30/08/2001,,
University of Greenwich,https://www.kentinvictachamber.co.uk/business-listings/university-of-greenwich/,https://gre.ac.uk,01634 883912,"UNIVERSITY OF KENT, THE NEW ACADEMIC BUILDING MEDWAY CAMPUS, PEMBROKE, CHATHAM MARITIME, CHATHAM, ME4 4AG",,CHATHAM MARITIME,CHATHAM,ME4 4AG,University,MEDWAY,E05014450,20/06/2022,26/04/2005,UNIVERSITY OF KENT,THE NEW ACADEMIC BUILDING MEDWAY CAMPUS
VBH GB LTD,https://www.kentinvictachamber.co.uk/business-listings/vbh-gb-ltd/,https://www.vbhgb.com/,01634 263 263,"BEADLES, BAILEY DRIVE, GILLINGHAM BUSINESS PARK, GILLINGHAM, ME8 0PZ",,BAILEY DRIVE,GILLINGHAM,ME8 0PZ,Shop / Showroom,MEDWAY,E05014471,12/11/2018,30/08/2001,BEADLES,
Wisdom Hospice Charity,https://www.kentinvictachamber.co.uk/business-listings/the-friends-of-the-wisdom-hospice/,http://www.wisdomhospicecharity.org.uk,01634 831163,"1, HIGH BANK, ROCHESTER, ME1 2XJ",1,HIGH BANK,ROCHESTER,ME1 2XJ,Detached,MEDWAY,E05014464,20/06/2022,30/08/2001,,
